,TEMPERATURE,PRECIPITATION,FIRE
60,25.923809523809524,35.0,1
61,24.585714285714285,36.0,1
62,26.333333333333332,45.199999999999996,1
63,24.476190476190474,27.799999999999997,1
64,26.271428571428572,25.8,1
65,24.476190476190474,27.799999999999997,1
66,26.31904761904762,25.8,1
67,25.521052631578947,0.0,1
68,17.5,79.20000000000002,1
69,24.876190476190477,63.19999999999999,1
70,21.36190476190476,46.0,1
71,23.80952380952381,61.599999999999994,1
72,20.752380952380953,67.4,1
73,23.228571428571428,58.8,1
74,23.823809523809523,67.19999999999999,1
75,23.78095238095238,59.599999999999994,1
76,26.5,60.480000000000004,1
77,24.747619047619047,64.19999999999999,1
78,11.547619047619047,42.0,1
79,7.904761904761905,38.900000000000006,1
80,6.285714285714286,67.2,1
81,16.38095238095238,66.4,1
82,22.047619047619047,44.6,1
83,26.357142857142858,61.8,1
84,26.5,57.6,1
85,26.53125,60.480000000000004,1
86,3.7142857142857144,65.0,1
87,3.9523809523809526,54.6,1
88,9.90952380952381,21.400000000000002,1
89,-4.690476190476191,59.4,1
90,13.30952380952381,57.8,1
91,17.142857142857142,39.599999999999994,1
92,24.38095238095238,88.79999999999998,1
93,24.714285714285715,57.6,1
94,19.80952380952381,80.0,1
95,-11.119047619047619,15.500000000000002,1
96,11.285714285714286,82.59999999999998,1
97,27.928571428571427,32.800000000000004,1
98,27.666666666666668,32.800000000000004,1
99,27.952380952380953,24.099999999999998,1
100,28.238095238095237,48.8,1
101,28.142857142857142,55.6,1
102,28.142857142857142,55.6,1
103,28.238095238095237,48.8,1
104,3.9285714285714284,22.5,1
105,-4.285714285714286,10.8,1
106,27.261904761904763,85.69999999999999,1
107,23.571428571428573,91.99999999999999,1
108,-1.4761904761904763,17.5,1
109,-1.4761904761904763,17.5,1
110,-1.4761904761904763,17.5,1
111,-1.4761904761904763,17.5,1
112,-1.4761904761904763,17.5,1
113,-1.4761904761904763,17.5,1
114,-1.4761904761904763,17.5,1
115,-1.4761904761904763,17.5,1
116,-11.119047619047619,15.500000000000002,1
117,15.619047619047619,30.200000000000003,1
118,15.619047619047619,30.200000000000003,1
119,16.285714285714285,28.9,1
120,18.166666666666668,37.7,1
121,19.142857142857142,40.8,1
122,19.142857142857142,40.8,1
123,18.69047619047619,37.0,1
124,-5.285714285714286,15.3,1
125,-5.285714285714286,15.3,1
126,-11.119047619047619,15.500000000000002,1
127,4.005,25.941176470588236,1
128,4.071428571428571,3.2,1
129,12.714285714285714,30.2,1
130,12.714285714285714,30.2,1
131,4.071428571428571,3.2,1
132,4.071428571428571,3.2,1
133,12.714285714285714,30.2,1
134,12.714285714285714,30.2,1
135,4.071428571428571,3.2,1
136,4.071428571428571,3.2,1
137,12.476190476190476,30.2,1
138,12.714285714285714,30.2,1
139,12.714285714285714,30.2,1
140,12.714285714285714,30.2,1
141,-11.0,15.500000000000002,1
142,24.595238095238095,86.8,1
143,11.047619047619047,82.59999999999998,1
144,4.071428571428571,3.2,1
145,21.928571428571427,38.3,1
146,20.476190476190474,36.3,1
147,21.928571428571427,38.3,1
148,21.928571428571427,38.3,1
149,21.357142857142858,37.599999999999994,1
150,21.928571428571427,38.3,1
151,21.61904761904762,38.3,1
152,22.238095238095237,39.099999999999994,1
153,21.928571428571427,38.3,1
154,22.238095238095237,39.099999999999994,1
155,22.38095238095238,35.3,1
156,20.476190476190474,36.3,1
157,22.38095238095238,35.3,1
158,22.38095238095238,35.3,1
159,23.023809523809526,26.700000000000003,1
160,23.023809523809526,26.700000000000003,1
161,23.785714285714285,51.400000000000006,1
162,20.476190476190474,36.3,1
163,23.761904761904763,69.30000000000001,1
164,23.023809523809526,26.700000000000003,1
165,22.38095238095238,35.3,1
166,22.61904761904762,85.7,1
167,-11.0,15.500000000000002,1
168,22.88095238095238,58.099999999999994,1
169,22.857142857142858,43.8,1
170,24.30952380952381,30.6,1
171,24.666666666666668,80.5,1
172,24.30952380952381,30.6,1
173,24.047619047619047,31.599999999999998,1
174,25.0,27.0,1
175,25.0,27.0,1
176,25.11904761904762,30.4,1
177,24.785714285714285,30.4,1
178,26.071428571428573,39.3,1
179,27.261904761904763,32.800000000000004,1
180,26.738095238095237,38.699999999999996,1
181,27.428571428571427,32.800000000000004,1
182,27.928571428571427,32.800000000000004,1
183,27.928571428571427,32.800000000000004,1
184,5.890476190476191,0.0,1
185,20.675,0.0,1
186,17.11904761904762,70.4,1
187,10.765,0.0,1
188,15.53,0.0,1
189,16.41,0.0,1
190,1.4190476190476191,0.0,1
191,12.585714285714285,0.0,1
192,0.8476190476190476,0.0,1
193,18.57,0.0,1
194,23.076190476190476,0.0,1
195,26.023809523809526,29.6,1
196,0.8476190476190476,0.0,1
197,-5.919047619047619,0.0,1
198,7.380952380952381,0.0,1
199,7.380952380952381,0.0,1
200,3.0904761904761906,0.0,1
201,27.36,34.44,1
202,25.5375,75.81000000000002,1
203,23.755,53.760000000000005,1
204,0.4761904761904762,33.074999999999996,1
205,15.3,12.821052631578947,1
206,10.39047619047619,47.355,1
207,15.666666666666666,18.01578947368421,1
208,17.166666666666668,98.60000000000001,1
209,20.666666666666668,69.8,1
210,27.223809523809525,45.99999999999999,1
211,2.6904761904761907,76.39999999999999,1
212,26.571428571428573,26.0,1
213,26.571428571428573,26.0,1
214,25.995238095238097,20.8,1
215,26.214285714285715,5.6,1
216,26.071428571428573,25.200000000000003,1
217,24.666666666666668,52.199999999999996,1
218,-1.4714285714285713,32.0,1
219,-2.4047619047619047,76.19999999999999,1
220,18.88095238095238,79.40000000000002,1
221,24.714285714285715,57.6,1
222,13.233333333333333,35.3,1
223,26.928571428571427,22.0,1
224,25.33809523809524,70.0,1
225,26.61904761904762,28.2,1
226,27.523809523809526,42.6,1
227,26.238095238095237,161.6,1
228,25.88095238095238,139.39999999999998,1
229,-12.038095238095238,16.45,1
230,19.857142857142858,54.3,1
231,21.476190476190474,22.2,1
232,24.142857142857142,87.19999999999999,1
233,19.142857142857142,69.80000000000001,1
234,24.0,46.0,1
235,-2.6142857142857143,45.900000000000006,1
236,0.719047619047619,0.26250000000000007,1
237,6.847619047619047,39.500000000000014,1
238,19.5,6.2,1
239,19.5,6.2,1
240,23.415,21.221052631578946,1
241,12.428571428571429,105.0,1
242,23.395,11.05263157894737,1
243,23.395,11.05263157894737,1
244,24.557142857142857,37.0,1
245,24.557142857142857,37.0,1
246,16.20952380952381,51.900000000000006,1
247,17.01904761904762,53.00000000000001,1
248,19.785714285714285,54.3,1
249,21.39,10.610526315789473,1
250,19.857142857142858,54.3,1
251,-15.523809523809524,22.3,1
