,OGF_ID,FIRE_START_DATE,FIRE_GENERAL_CAUSE_CODE,FIRE_FINAL_SIZE,FIRE_YEAR,LONGITUDE,LATITUDE
191,46001887,1998/07/04 00:00:00+00,LTG,125,1998,-91.51189327702107,53.88133651384358
192,46001817,1998/07/06 00:00:00+00,LTG,1500,1998,-85.0021473770517,52.65054364685253
193,46001932,1999/05/28 00:00:00+00,REC,4000,1999,-88.44212253233384,51.716178204214266
194,46001931,1999/05/05 00:00:00+00,LTG,2000,1999,-88.96960047712452,51.93253808986388
195,46001939,1999/06/13 00:00:00+00,LTG,900,1999,-87.83584530409468,53.70599986476575
196,46001876,1998/07/08 00:00:00+00,LTG,150,1998,-89.64315253630691,53.200731562158865
197,46001960,1999/05/27 00:00:00+00,LTG,227,1999,-90.55819074824863,52.37172805679419
198,46001857,1998/04/13 00:00:00+00,RWY,40,1998,-78.79449847387954,46.2763518810262
199,46001875,1998/07/08 00:00:00+00,LTG,200,1998,-91.7733519830547,53.910304821424425
200,46001864,1998/08/10 00:00:00+00,LTG,140,1998,-93.6936753491019,52.470457087183156
201,46001950,1999/08/25 00:00:00+00,LTG,9190,1999,-95.09402805026969,52.52753953923738
202,46001881,1998/07/10 00:00:00+00,LTG,60,1998,-90.59609374512664,52.03823623261953
203,46001935,1999/06/13 00:00:00+00,LTG,1200,1999,-88.22863720304765,53.75410348993171
204,46001879,1998/07/08 00:00:00+00,LTG,300,1998,-91.38255915204344,53.82049714593995
205,46001895,1998/07/06 00:00:00+00,LTG,40,1998,-89.67822000546154,52.72734372727143
206,46001902,1998/06/13 00:00:00+00,LTG,4170,1998,-89.56622084476966,50.749100641190054
207,46001922,1999/08/29 00:00:00+00,LTG,300,1999,-84.62490406794231,52.252049782670106
208,46001930,1999/05/02 00:00:00+00,RES,30070,1999,-88.09796763976753,49.64951461137076
209,46001800,1998/04/27 00:00:00+00,UNK,40,1998,-78.75589445659594,44.69649275358
210,46001923,1999/05/06 00:00:00+00,LTG,50,1999,-82.87154107029795,52.99450699822058
211,46001941,1999/08/26 00:00:00+00,LTG,80,1999,-87.37356577924548,52.069006513993195
212,46001971,1999/05/29 00:00:00+00,LTG,900,1999,-89.93072539812627,49.381663701965195
